stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
20192,192,Beogradska arena /antifašističke borbe/,44.8116281045,20.4225743141,1,0,
20222,222,Konjarnik,44.7823610000,20.5105100000,1,0,
20237,237,Beogradska arena /španskih boraca/,44.8135957361,20.4182931785,1,0,
20291,291,Baštovanska,44.7563793582,20.4769530785,1,0,
20292,292,Baštovanska,44.7570328869,20.4772038810,1,0,
20331,331,Beogradska arena /španskih boraca/,44.8130001728,20.4183725914,1,0,
20371,371,Arhiv,44.8255414871,20.4129434669,1,0,
20372,372,Arhiv,44.8270963066,20.4120379473,1,0,
20373,373,Bulevar maršala Tolbuhina,44.8291143101,20.4116912896,1,0,
20374,374,Bulevar maršala Tolbuhina,44.8298295855,20.4111244878,1,0,
20387,387,Beogradska arena /antifašističke borbe/,44.8110830000,20.4226040000,1,0,
20391,391,Franše DEperea,44.7908361789,20.4682818516,1,0,
20395,395,Mostar,44.7978630000,20.4506391000,1,0,
20396,396,Mostar,44.7975243000,20.4506377000,1,0,
20397,397,Sava centar,44.8077083608,20.4312133981,1,0,
20398,398,Sava centar,44.8071934679,20.4310123055,1,0,
20399,399,Omladinskih brigada,44.8173618851,20.4101095209,1,0,
20400,400,Omladinskih brigada,44.8168683000,20.4099511000,1,0,
20401,401,Bulevar Zorana Đinđića,44.8202410000,20.4098120000,1,0,
20402,402,Bulevar Zorana Đinđića,44.8201620000,20.4093400000,1,0,
20403,403,GO Novi Beograd,44.8234476436,20.4126928717,1,0,
20404,404,GO Novi Beograd,44.8229760000,20.4118800000,1,0,
20405,405,Džona Kenedija,44.8341999716,20.4099694742,1,0,
20406,406,Džona Kenedija,44.8339783387,20.4097198784,1,0,
20407,407,Prve pruge - Retenzija,44.8368281582,20.4105595470,1,0,
20408,408,Poljoprivredni fakultet,44.8394536076,20.4129170730,1,0,
20409,409,22. Oktobra,44.8379084168,20.4112463994,1,0,
20478,478,Savski trg (Savska),44.8069100000,20.4554080000,1,0,
20480,480,Bulevar kralja Aleksandra,44.7839659319,20.5176662909,1,0,
20494,494,Mostar,44.7981847359,20.4489129159,1,0,
20495,495,Sajam,44.7964357486,20.4414598404,1,0,
20496,496,Sajam,44.7963526039,20.4421144469,1,0,
20503,503,Ada Ciganlija,44.7884938958,20.4200184945,1,0,
20636,636,Mirijevo 4,44.7859569832,20.5459931894,1,0,
20637,637,Mirijevo 4,44.7862780000,20.5456290000,1,0,
20696,696,SP Lasta,44.7718588515,20.5185539305,1,0,
20706,706,Palata pravde,44.8044242873,20.4529303729,1,0,
20725,725,Žarkovo,44.7594788800,20.4154967025,1,0,
20745,745,Pogon Kosmaj,44.7716990584,20.5179604494,1,0,
20771,771,dr Ivana Ribara,44.7981227294,20.3723284515,1,0,
20782,782,Blok 45,44.7929726212,20.3751949515,1,0,
20783,783,Blok 45,44.7928302595,20.3751126619,1,0,
20784,784,dr Ivana Ribara 1,44.7958106917,20.3729756711,1,0,
20785,785,dr Ivana Ribara 1,44.7967040708,20.3720502454,1,0,
20786,786,OŠ Branko Radičević,44.7996020533,20.3756588104,1,0,
20787,787,OŠ Branko Radičević,44.7997551055,20.3751192829,1,0,
20788,788,Nehruova,44.8011803434,20.3799878521,1,0,
20789,789,Nehruova,44.8014832069,20.3798299037,1,0,
20790,790,Gandijeva,44.8033620350,20.3888870650,1,0,
20791,791,Gandijeva,44.8033177814,20.3868937939,1,0,
20792,792,Blok 70,44.8040317924,20.3938664883,1,0,
20793,793,Blok 70,44.8043360655,20.3937226093,1,0,
20794,794,Omladinskih brigada,44.8043244777,20.3982555736,1,0,
20795,795,Omladinskih brigada,44.8046455213,20.3983138700,1,0,
20796,796,Tehnička škola Novi Beograd,44.8089743747,20.3997505693,1,0,
20797,797,Tehnička škola Novi Beograd,44.8081264807,20.3990918736,1,0,
20798,798,Erport siti,44.8117495048,20.4021013331,1,0,
20799,799,Erport siti,44.8111153397,20.4012241656,1,0,
20800,800,Milutina Milankovića,44.8161203327,20.4060811441,1,0,
20801,801,Milutina Milankovića,44.8160028899,20.4056146386,1,0,
20846,846,Trg oslobođenja,44.7870250000,20.4659370000,1,0,
20854,854,Crkva Sv. Vasilija Ostroškog,44.7623105462,20.4796286488,1,0,
20910,910,Trošarina,44.7612980000,20.4831720000,1,0,
20911,911,Železnik R,44.7421904627,20.3588764227,1,0,
20914,914,Žarkovo,44.7585613626,20.4151386503,1,0,
20925,925,Trg Slavija /Nemanjina/,44.8033579000,20.4644407000,1,0,
20932,932,Ostružnica 1,44.7336310000,20.3210220000,1,0,
20963,963,Ostružnica 2,44.7236335624,20.3145473730,1,0,
20964,964,Pećani,44.6965550000,20.3168420000,1,0,
21009,1009,Jablanička,44.7480222623,20.4118326859,1,0,
21010,1010,Jablanička,44.7496970167,20.4122598933,1,0,
21011,1011,Kneževac,44.7336838975,20.4195335282,1,0,
21012,1012,Kneževac,44.7351710565,20.4193981147,1,0,
21032,1032,Robni terminal,44.8168821840,20.2885073196,1,0,
21042,1042,Biodekor,44.8063953011,20.3522522644,1,0,
21082,1082,Robni terminal,44.8166712744,20.2881465460,1,0,
21112,1112,Blok 70A,44.7982360000,20.4002610000,1,0,
21113,1113,Blok 70A,44.7979787573,20.4001060933,1,0,
21114,1114,Jurija Gagarina,44.8017794388,20.3998266976,1,0,
21115,1115,Jurija Gagarina,44.8016556287,20.3996453963,1,0,
21122,1122,Železnička stanica Tošin bunar,44.8171856266,20.3950667308,1,0,
21123,1123,Železnička stanica Tošin bunar,44.8167820684,20.3952962551,1,0,
21124,1124,Stari aerodrom,44.8139993817,20.3927918369,1,0,
21126,1126,IMT,44.8124916088,20.3897331491,1,0,
21127,1127,IMT,44.8128519300,20.3913638100,1,0,
21128,1128,Gandijeva,44.8100762381,20.3814827111,1,0,
21135,1135,Crkva Sv. Georgija,44.8077132787,20.3756955080,1,0,
21136,1136,Crkva Sv. Georgija,44.8079895565,20.3770089362,1,0,
21137,1137,Dušana Vukasovića,44.8057095617,20.3707769387,1,0,
21138,1138,Dušana Vukasovića,44.8060751863,20.3723171589,1,0,
21139,1139,Surčinska,44.8040810000,20.3667970000,1,0,
21140,1140,Surčinska,44.8039392529,20.3670972332,1,0,
21141,1141,Nedeljka Gvozdenovića,44.8077111679,20.3597921894,1,0,
21142,1142,Nedeljka Gvozdenovića,44.8075539512,20.3602008761,1,0,
21143,1143,Ledine,44.8050942129,20.3490129448,1,0,
21144,1144,Blok 44,44.7970670000,20.3839640000,1,0,
21145,1145,Blok 44,44.7964154433,20.3841447067,1,0,
21146,1146,Dom zdravlja Blok 44,44.7991656485,20.3826764509,1,0,
21147,1147,Dom zdravlja Blok 44,44.7989535643,20.3825625337,1,0,
21148,1148,dr Ivana Ribara,44.7992071038,20.3703869773,1,0,
21149,1149,Naselje Dr Ivan Ribar,44.7997440638,20.3695740153,1,0,
21150,1150,Blok 61,44.8015862146,20.3683867792,1,0,
21151,1151,Blok 61,44.8031590000,20.3665382000,1,0,
21181,1181,Milutina Milankovića,44.8201223459,20.3961677491,1,0,
21194,1194,Gandijeva,44.8107349195,20.3835689092,1,0,
21219,1219,Durmitorska,44.8021285000,20.4510250000,1,0,
21273,1273,Petrovčić,44.7950870000,20.1354494000,1,0,
21438,1438,Put za Kaluđericu,44.7677170237,20.5603856460,1,0,
21439,1439,Put za Kaluđericu,44.7679138369,20.5604360362,1,0,
21454,1454,Zdravstvena st. Leštane i Vinča,44.7454995198,20.5986659644,1,0,
21455,1455,Zdravstvena st. Leštane i Vinča,44.7460574677,20.5972950184,1,0,
21456,1456,Boleč raskršće,44.7356846641,20.6115268969,1,0,
21457,1457,Boleč raskršće,44.7359539242,20.6111147509,1,0,
21458,1458,Hladnjača PKB,44.7219576347,20.6309509381,1,0,
21459,1459,Hladnjača PKB,44.7219609800,20.6317525650,1,0,
21466,1466,Put za Zaklopaču,44.6974350664,20.6691591412,1,0,
21467,1467,Put za Zaklopaču,44.6975702297,20.6692145227,1,0,
21478,1478,Šumadijska,44.6736039315,20.7162556411,2,0,
21479,1479,Šumadijska,44.6741856661,20.7156293361,2,0,
21496,1496,Begaljica,44.6323627156,20.6951099153,2,0,
21497,1497,Put za Zaklopaču,44.6974998961,20.6683072166,1,0,
21501,1501,Ulaz u Zaklopaču,44.6873882000,20.6632598000,1,0,
21502,1502,Ulaz u Zaklopaču,44.6877880000,20.6634010000,1,0,
21503,1503,4. jula,44.6851803600,20.6619906798,1,0,
21504,1504,4. jula,44.6849464433,20.6620400288,1,0,
21505,1505,Trafostanica,44.6803962462,20.6626712221,1,0,
21506,1506,Trafostanica,44.6801864963,20.6626014742,1,0,
21507,1507,Dom kulture,44.6761668859,20.6597594264,1,0,
21508,1508,Dom kulture,44.6764122000,20.6608992000,1,0,
