route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00601,N,00601_B_N_1751,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_0858,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1321,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_2233,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1257,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0937,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1001,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1558,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1914,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_B_N_0833,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_1818,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_0430,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1322,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1745,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0803,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_2200,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1103,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1305,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1859,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_A_N_0900,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_1312,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
